Country,Date,country_name,iso_code3,unfccc_group
AUSTRALIA,6/7/71,Australia,AUS,UNFCCC Annex I
AUSTRIA,9/29/61,Austria,AUT,UNFCCC Annex I
BELGIUM,9/13/61,Belgium,BEL,UNFCCC Annex I
CANADA,4/10/61,Canada,CAN,UNFCCC Annex I
CHILE,5/7/10,Chile,CHL,UNFCCC Non-Annex I
COLOMBIA,4/28/20,Colombia,COL,UNFCCC Non-Annex I
COSTA RICA,5/25/21,Costa Rica,CRI,UNFCCC Non-Annex I
CZECH REPUBLIC,12/21/95,Czech Republic,CZE,UNFCCC Annex I
DENMARK,5/30/61,Denmark,DNK,UNFCCC Annex I
ESTONIA,12/9/10,Estonia,EST,UNFCCC Annex I
FINLAND,1/28/69,Finland,FIN,UNFCCC Annex I
FRANCE,8/7/61,France,FRA,UNFCCC Annex I
GERMANY,9/27/61,Germany,DEU,UNFCCC Annex I
GREECE,9/27/61,Greece,GRC,UNFCCC Annex I
HUNGARY,5/7/96,Hungary,HUN,UNFCCC Annex I
ICELAND,6/5/61,Iceland,ISL,UNFCCC Annex I
IRELAND,8/17/61,Ireland,IRL,UNFCCC Annex I
ISRAEL,9/7/10,Israel,ISR,UNFCCC Non-Annex I
ITALY,3/29/62,Italy,ITA,UNFCCC Annex I
JAPAN,4/28/64,Japan,JPN,UNFCCC Annex I
KOREA,12/12/96,South Korea,KOR,UNFCCC Non-Annex I
LATVIA,7/1/16,Latvia,LVA,UNFCCC Annex I
LITHUANIA,7/5/18,Lithuania,LTU,UNFCCC Annex I
LUXEMBOURG,12/7/61,Luxembourg,LUX,UNFCCC Annex I
MEXICO,5/18/94,Mexico,MEX,UNFCCC Non-Annex I
NETHERLANDS,11/13/61,Netherlands,NLD,UNFCCC Annex I
NEW ZEALAND,5/29/73,New Zealand,NZL,UNFCCC Annex I
NORWAY,7/4/61,Norway,NOR,UNFCCC Annex I
POLAND,11/22/96,Poland,POL,UNFCCC Annex I
PORTUGAL,8/4/61,Portugal,PRT,UNFCCC Annex I
SLOVAK REPUBLIC,12/14/00,Slovakia,SVK,UNFCCC Annex I
SLOVENIA,7/21/10,Slovenia,SVN,UNFCCC Annex I
SPAIN,8/3/61,Spain,ESP,UNFCCC Annex I
SWEDEN,9/28/61,Sweden,SWE,UNFCCC Annex I
SWITZERLAND,9/28/61,Switzerland,CHE,UNFCCC Annex I
TÜRKIYE,8/2/61,Türkiye,TUR,UNFCCC Annex I
UNITED KINGDOM,5/2/61,United Kingdom,GBR,UNFCCC Annex I
UNITED STATES,4/12/61,United States,USA,UNFCCC Annex I
